gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful,energy,hmd_energy,services_on_hmds
5.359,0.128,3.496,3.624,70,0,3.57,2.3,1917
5.379,0.128,3.495,3.623,47,0,3.59,2.29,1914
5.336,0.133,3.486,3.619,60,0,3.56,2.26,1898
5.281,0.139,3.477,3.616,42,0,3.58,2.26,1884
5.312,0.142,3.472,3.614,51,0,3.58,2.24,1875
5.32,0.146,3.468,3.614,47,0,3.57,2.23,1866
5.324,0.146,3.473,3.619,38,0,3.56,2.22,1870
5.246,0.144,3.462,3.606,69,0,3.62,2.25,1855
5.289,0.145,3.46,3.604,39,0,3.66,2.26,1846
5.293,0.146,3.447,3.593,42,0,3.64,2.22,1828
5.257,0.144,3.459,3.603,60,0,3.66,2.26,1850
5.252,0.145,3.447,3.592,51,0,3.7,2.26,1839
5.192,0.145,3.454,3.599,78,0,3.67,2.24,1839
5.302,0.144,3.458,3.602,54,0,3.63,2.23,1847
5.241,0.144,3.457,3.601,51,0,3.66,2.24,1848
5.237,0.142,3.459,3.601,62,0,3.67,2.25,1848
5.256,0.141,3.454,3.595,48,0,3.66,2.24,1844
5.245,0.137,3.466,3.603,56,0,3.62,2.23,1862
5.264,0.135,3.459,3.594,48,0,3.63,2.23,1850
5.252,0.135,3.468,3.603,54,0,3.61,2.25,1859
5.283,0.141,3.456,3.597,57,0,3.65,2.26,1846
5.16,0.141,3.448,3.589,51,0,3.67,2.26,1839
5.223,0.14,3.448,3.588,49,0,3.67,2.25,1844
5.122,0.141,3.447,3.588,36,0,3.68,2.25,1834
5.191,0.141,3.451,3.592,38,0,3.66,2.27,1832
5.171,0.146,3.439,3.584,50,0,3.76,2.29,1818
5.199,0.147,3.426,3.573,70,0,3.76,2.26,1806
5.24,0.147,3.426,3.573,23,0,3.78,2.24,1803
5.215,0.147,3.423,3.57,46,0,3.77,2.24,1801
5.198,0.151,3.405,3.555,43,0,3.76,2.24,1787
5.239,0.145,3.411,3.556,59,0,3.75,2.25,1800
5.291,0.142,3.413,3.555,75,0,3.72,2.22,1801
5.311,0.142,3.42,3.562,36,0,3.71,2.22,1805
5.272,0.137,3.435,3.572,58,0,3.74,2.28,1812
5.249,0.138,3.424,3.562,57,0,3.73,2.24,1807
5.205,0.14,3.401,3.541,60,0,3.81,2.25,1775
5.285,0.135,3.411,3.546,53,0,3.79,2.25,1784
5.281,0.133,3.408,3.541,62,0,3.78,2.23,1770
5.253,0.135,3.403,3.538,63,0,3.81,2.24,1771
5.257,0.131,3.406,3.538,57,0,3.8,2.26,1782
5.285,0.133,3.408,3.541,45,0,3.77,2.26,1797
5.36,0.131,3.428,3.559,48,0,3.73,2.25,1823
5.28,0.128,3.433,3.561,63,0,3.68,2.25,1836
5.296,0.128,3.436,3.564,30,0,3.65,2.25,1836
5.269,0.134,3.439,3.572,54,0,3.69,2.27,1834
5.236,0.137,3.449,3.586,70,0,3.67,2.26,1842
5.175,0.134,3.452,3.586,47,0,3.64,2.22,1843
5.126,0.134,3.44,3.573,54,0,3.72,2.27,1829
5.233,0.137,3.441,3.578,51,0,3.69,2.27,1834
5.187,0.137,3.436,3.573,32,0,3.71,2.25,1828
5.25,0.131,3.448,3.579,52,0,3.79,2.32,1828
5.227,0.134,3.445,3.579,44,0,3.72,2.27,1833
5.327,0.134,3.441,3.575,51,0,3.72,2.26,1830
5.299,0.135,3.427,3.561,47,0,3.71,2.25,1817
5.278,0.136,3.427,3.562,55,0,3.71,2.25,1819
5.202,0.133,3.431,3.564,64,0,3.71,2.24,1818
5.22,0.133,3.434,3.567,42,0,3.68,2.25,1824
5.24,0.133,3.423,3.556,45,0,3.74,2.25,1805
5.279,0.13,3.435,3.564,57,0,3.72,2.24,1816
5.255,0.13,3.439,3.568,50,0,3.73,2.23,1816
5.313,0.129,3.434,3.563,51,0,3.71,2.23,1817
5.333,0.13,3.43,3.56,37,0,3.79,2.25,1810
5.263,0.126,3.441,3.567,45,0,3.7,2.24,1828
5.242,0.132,3.428,3.561,59,0,3.77,2.29,1815
5.254,0.133,3.429,3.561,46,0,3.69,2.25,1817
5.23,0.134,3.411,3.546,69,0,3.77,2.27,1792
5.225,0.134,3.419,3.553,53,0,3.78,2.27,1797
5.216,0.135,3.413,3.547,57,0,3.77,2.28,1798
5.223,0.135,3.41,3.545,47,0,3.79,2.29,1789
5.201,0.135,3.409,3.544,51,0,3.79,2.27,1784
5.168,0.133,3.425,3.558,50,0,3.74,2.24,1802
5.221,0.141,3.402,3.543,63,0,3.77,2.25,1785
5.199,0.143,3.396,3.539,54,0,3.81,2.27,1783
5.228,0.14,3.414,3.554,45,0,3.79,2.3,1804
5.272,0.143,3.405,3.548,68,0,3.81,2.26,1794
5.203,0.143,3.413,3.556,41,0,3.77,2.27,1797
5.262,0.143,3.414,3.557,31,0,3.79,2.28,1794
5.267,0.141,3.427,3.568,59,0,3.72,2.25,1813
5.298,0.138,3.428,3.566,36,0,3.75,2.27,1808
5.292,0.131,3.429,3.56,63,0,3.7,2.26,1831
5.264,0.131,3.423,3.555,56,0,3.69,2.24,1821
5.298,0.133,3.414,3.547,53,0,3.75,2.26,1808
5.261,0.131,3.418,3.55,48,0,3.68,2.23,1820
5.244,0.134,3.402,3.536,67,0,3.77,2.24,1797
5.274,0.136,3.391,3.527,58,0,3.79,2.21,1771
5.188,0.137,3.38,3.517,46,0,3.84,2.23,1745
5.265,0.134,3.384,3.518,39,0,3.82,2.23,1754
5.213,0.131,3.398,3.529,58,0,3.78,2.23,1768
5.204,0.129,3.397,3.526,48,0,3.83,2.25,1762
5.239,0.134,3.383,3.516,63,0,3.8,2.22,1747
5.188,0.133,3.387,3.52,38,0,3.81,2.23,1753
5.31,0.133,3.388,3.521,36,0,3.82,2.23,1753
5.223,0.133,3.393,3.526,39,0,3.85,2.24,1754
5.283,0.13,3.389,3.52,48,0,3.84,2.24,1744
5.25,0.13,3.398,3.529,70,0,3.87,2.29,1756
5.244,0.129,3.407,3.536,41,0,3.8,2.24,1776
5.171,0.132,3.402,3.534,44,0,3.88,2.29,1767
5.155,0.132,3.401,3.533,45,0,3.88,2.28,1764
5.233,0.131,3.404,3.535,50,0,3.85,2.28,1778
5.163,0.13,3.413,3.543,68,0,3.81,2.26,1778
5.199,0.127,3.415,3.542,66,0,3.81,2.24,1773
5.2,0.122,3.416,3.539,48,0,3.81,2.27,1778
5.214,0.119,3.424,3.543,54,0,3.79,2.26,1782
5.238,0.119,3.419,3.539,35,0,3.81,2.27,1778
5.22,0.117,3.422,3.539,42,0,3.75,2.23,1778
5.217,0.118,3.438,3.556,65,0,3.71,2.25,1803
5.167,0.118,3.435,3.553,54,0,3.72,2.24,1807
5.225,0.125,3.429,3.554,47,0,3.77,2.29,1806
5.246,0.124,3.446,3.57,48,0,3.76,2.3,1820
5.259,0.122,3.449,3.571,63,0,3.75,2.27,1823
5.241,0.122,3.462,3.583,66,0,3.72,2.28,1835
5.209,0.122,3.462,3.583,47,0,3.71,2.27,1834
5.153,0.114,3.48,3.594,54,0,3.63,2.24,1860
5.119,0.113,3.484,3.597,43,0,3.66,2.27,1865
5.197,0.109,3.496,3.605,57,0,3.6,2.26,1886
5.227,0.11,3.485,3.595,42,0,3.64,2.27,1868
5.205,0.111,3.472,3.583,47,0,3.67,2.26,1853
5.239,0.11,3.476,3.586,39,0,3.67,2.28,1862
5.276,0.11,3.476,3.586,62,0,3.68,2.3,1860
5.248,0.111,3.465,3.575,65,0,3.68,2.28,1843
5.222,0.11,3.465,3.576,45,0,3.65,2.23,1846
5.162,0.111,3.467,3.577,45,0,3.71,2.28,1845
5.192,0.107,3.47,3.578,56,0,3.66,2.27,1853
5.221,0.109,3.473,3.581,54,0,3.67,2.26,1854
5.165,0.11,3.46,3.57,50,0,3.66,2.26,1837
5.216,0.116,3.456,3.572,60,0,3.7,2.25,1837
5.147,0.115,3.465,3.58,60,0,3.71,2.31,1859
5.212,0.11,3.469,3.579,71,0,3.66,2.29,1868
5.165,0.106,3.464,3.571,46,0,3.61,2.26,1874
5.218,0.109,3.462,3.571,87,0,3.6,2.28,1889
5.194,0.107,3.465,3.572,51,0,3.57,2.24,1886
5.184,0.11,3.454,3.564,42,0,3.57,2.24,1880
5.248,0.11,3.451,3.561,38,0,3.58,2.26,1880
5.225,0.112,3.451,3.563,84,0,3.57,2.27,1884
5.248,0.118,3.443,3.561,65,0,3.61,2.29,1873
5.283,0.118,3.432,3.55,45,0,3.65,2.3,1864
5.237,0.12,3.437,3.557,54,0,3.63,2.27,1872
5.287,0.125,3.422,3.547,45,0,3.7,2.28,1845
5.193,0.124,3.424,3.548,42,0,3.66,2.25,1851
5.189,0.126,3.428,3.554,51,0,3.63,2.24,1864
5.268,0.129,3.413,3.542,72,0,3.64,2.22,1841
5.249,0.135,3.416,3.551,48,0,3.64,2.24,1851
5.262,0.136,3.413,3.549,42,0,3.7,2.28,1839
