gpu_usage,net_latency,comput_latency,ete_latency,successful,unsuccessful
1.743,0.089,3.408,3.497,9,0
1.725,0.088,3.412,3.5,8,0
1.733,0.085,3.437,3.522,21,0
1.769,0.085,3.44,3.525,21,0
1.749,0.086,3.443,3.529,20,0
1.722,0.086,3.443,3.529,15,0
1.745,0.086,3.442,3.528,9,0
1.784,0.087,3.427,3.515,21,0
1.755,0.087,3.43,3.517,16,0
1.735,0.086,3.431,3.517,19,0
1.804,0.085,3.437,3.522,15,0
1.802,0.086,3.424,3.511,19,0
1.749,0.087,3.42,3.507,9,0
1.772,0.087,3.425,3.512,17,0
1.797,0.088,3.417,3.504,18,0
1.768,0.089,3.41,3.498,13,0
1.696,0.09,3.396,3.486,13,0
1.737,0.089,3.406,3.496,14,0
1.769,0.09,3.399,3.488,14,0
1.664,0.089,3.406,3.494,17,0
1.731,0.089,3.4,3.488,16,0
1.679,0.089,3.388,3.477,12,0
1.702,0.089,3.395,3.483,9,0
1.757,0.089,3.39,3.479,17,0
1.743,0.09,3.389,3.478,24,0
1.74,0.09,3.386,3.477,12,0
1.786,0.09,3.381,3.472,23,0
1.768,0.091,3.366,3.458,19,0
1.771,0.092,3.369,3.461,11,0
1.756,0.093,3.364,3.456,17,0
1.768,0.093,3.36,3.454,14,0
1.728,0.093,3.358,3.451,9,0
1.756,0.093,3.361,3.454,15,0
1.757,0.092,3.367,3.459,12,0
1.732,0.093,3.359,3.452,15,0
1.81,0.093,3.371,3.463,20,0
1.79,0.092,3.377,3.468,9,0
1.822,0.092,3.38,3.472,18,0
1.783,0.092,3.38,3.472,10,0
1.796,0.093,3.374,3.467,12,0
1.771,0.094,3.378,3.472,17,0
1.78,0.093,3.384,3.477,13,0
1.694,0.094,3.383,3.477,12,0
1.758,0.094,3.386,3.481,13,0
1.77,0.092,3.405,3.497,21,0
1.782,0.091,3.414,3.505,15,0
1.769,0.091,3.415,3.506,17,0
1.762,0.09,3.429,3.519,15,0
1.766,0.09,3.426,3.516,9,0
1.792,0.088,3.434,3.522,14,0
1.795,0.088,3.432,3.52,12,0
1.813,0.086,3.436,3.522,17,0
1.761,0.086,3.434,3.521,14,0
1.757,0.086,3.434,3.52,16,0
1.745,0.086,3.427,3.513,17,0
1.859,0.087,3.418,3.505,13,0
1.736,0.088,3.415,3.502,16,0
